text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
"متافق , لست متدين إطلاقا و كيعجبني لبخور و ينكون رويحتو زوييينة.",negative,negative,negative,negative,positive,negative,negative,negative,negative
الجماعة دائما سهل تسيطر عليها و تخدمها لمصالحك بالتحايل عليها و كنضن هذا في العالم كلو ماشي غا المغرب,negative,negative,negative,negative,negative,negative,negative,negative,negative
إرحم ربي لوالدين💙🙏,positive,positive,positive,negative,positive,positive,positive,positive,positive
"هاد المرحلة صعيييبة ديال يكون عندك ومن بعد تخسر مالك , خاصة على لوليدات الصغار لي كيكونو تزاد فالنور ومعرفوش معنى الظلام.",negative,negative,negative,negative,negative,negative,negative,negative,negative
متافق للاسف. ولكن الله يهدي لبنات ويحيدو علينا الصداق و يتعاون مع الدري فالبناء ميبقاوش يتسناوها واجدا😂,negative,negative,negative,negative,negative,negative,negative,negative,negative
"هههه سي لا منتمي خااااصك ترد ريتويت , بغض النظر عل هاد التغريدة ولكن را عيب عليك هادشي والله , رد ريتويت هههه",negative,negative,negative,negative,negative,positive,negative,negative,negative
"هههه لا لا منتافق فهادي إطلاااق , فينما ضرتي كاين بوردييل , عطاهم الله . ؤ واخا تبقا غا تكفت عمرك كلو و متغتاصبش بنت , سوى كبيرة أ صغيرة.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"را إلى حازق را تلقائيا نتا فمأزق و غتكون غارق مشاكل , طبعا هذا مكيعنيش السعادة هي الفلوس حيت كين أغنياء عندهم مشاكل أو مشاكلهم تختلف عن مشاكل لفقراء , و لكن الفقر كلو مشاكل.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"زعما يقدر شي مغريبي يمشي يقلهم , مديروش هادشي را حنا فبلاد لمسلمين وهادشي منكر عدنا.",negative,negative,negative,negative,positive,negative,negative,negative,negative
هههههههههه أنا نشري نيدو وهي تشري لما معدني باش نخلطوه😍,positive,negative,negative,negative,negative,negative,negative,negative,negative
"لااااااا إطلاااقا , منقبلش نكون عالة على شي مخلوق , أنا والديا ومنبغاش نستغل رزقهم عاد بنت مرتابطا بيا , و في المقابل منقبلش بنت تستغل رزقي بحجة أنها بنت , نخدمو بجوج ونتعاونو فمسيرة الحياة آه , بغيتي تبقاي التاكلي وتشربي غلسي عند لي ولدوك ستغلي رزقهم.",negative,negative,negative,negative,negative,negative,negative,negative,negative
أنا مغندويش من وجهة نظر علمية حيت أنا لاااا أفقه شيئ فهاد المجال . و حتا قدية ميول أو إختيار ؤ واش كيتعارضو مع بعض مغندويش فيها . المهم لنحترم ختيارات الناس إلى مكانوش كيضرونا بشي حاجة و حترامنا لختياراتهم بغض النضر على المثلية مكيعنيش أننا كيعجبنا شنو كيديرو.,negative,negative,negative,negative,negative,positive,negative,negative,negative
"رفيقتي زينب ماشي نتي لي تقدري تحددي لناس شنو الغلط و شنو الصح ؤ ماشي الجماعة الغالبة لي كتحدد شنو الغلط وشنو الصح , و هادشي مضنيتش واش يندرج ضمن مايسمى بالبلية بل هي ميول وماشي بلية",negative,negative,negative,negative,negative,positive,negative,negative,negative
"فراسك زامل ليست عكس كلمة راجل بحيت تقدر تكون زامل ولكن رجل , بالمعنى لأصلي لكلمة رجل.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"سيييير عله خويا , شكرا",positive,positive,positive,positive,positive,positive,positive,positive,positive
كين شي بلانات تقول أن حتا لأرض و لأبوين كنحصلو عليهم بستحقاق. لأمر معقد للغاية ولكن كينة هاد لفرضية,negative,negative,negative,negative,negative,negative,negative,negative,negative
"و إلى كان غيجي و ترجع الروح, غا يرجع لكلب ؤ صافي معدنا مانديرو ههههههههه",negative,negative,negative,negative,positive,negative,negative,negative,negative
"آه , ولكن مدلولة شوية هو بغا يمشي ومني مطفروش عاد بغا يرجع.",negative,negative,negative,negative,negative,negative,negative,negative,negative
وفي الناسِ مَن يَرضى بِمَيسورِ عَيشِهِ وَمَركوبُهُ رِجلاهُ وَالثَوبُ جِلدُهُ,negative,negative,negative,negative,positive,negative,negative,positive,negative
"إحتراما لدماغي , مكنريحش فمقهى مخدمين فيها نادلة بدجين مزييير باش تجيب كليان.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"را طبعا كين العديد من لأسباب , هدفي كان نسمع من لأنثى شنو دوافعها , حيت دائما كنسمعو الذكور كيجابو فبلاصت لبنات و للأسف جل التعليقات الذكور لي جاوبو فبلاصت لبنات مجددا . على لعموم شكرا بزاف💙🙏",negative,negative,negative,negative,negative,positive,negative,negative,negative
: محشش كيسمع أغنية فيوتوب والكونيكسيون عندو ثقيلة كل شوية كتقطع قاليه: دخلنا عليك بالله ملي ماحفضهاش لاااش كتغنيها…,negative,negative,negative,negative,negative,negative,negative,negative,negative
"الدل ديلمو , را كاع كنعشقو لأنثى ولكن التكلبين و الدل لا.",negative,negative,negative,negative,negative,negative,negative,negative,negative
: كاينين واحد تلاميذ جداد هنا تاينقزو علا لبنات كيفما كانو كي جراد، عزها تعزك وعطي لكرك قيمة وبراكا ماتكون كي جرو لي مقطع…,negative,negative,negative,negative,negative,negative,negative,negative,negative
حتا أنا لم أبرر فعل الخيانة فقط قلت سبب من لأسباب وهذا مكيعنيش أنه يخون. على لعموم شكرا 💙🙏,negative,negative,negative,negative,negative,negative,negative,negative,negative
"شكرا مريم , كنت كنتسنا بنات يجاوبو , حيت لأمر يهمهن لكن للأسف الدراري كيجاوبو فبلاصت لبنات. شكرا مجددا💙🙏",negative,negative,negative,negative,negative,negative,negative,negative,negative
و في النهاية كيبان ليا الحيوانات فلغابة عايشين خير منا و يلعن بو لي يفكر يتزوج بعد ماقرا هاد الثريد ديالك. والله✌,negative,negative,negative,negative,negative,negative,negative,negative,negative
"كتشها طبعا , لكن كنضن جسد الذكر ماشي هو السبب لأول ورا الخيانة على عكس الذكر , واللوعلم عاوتاني.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"الصداق را خاص يتعاود فيه النظر را كنشوفو عملية نصب , خاصة و أن الأنثى فعصرنا خدامة على راسها وليست كيفما كانت في الزمن القديم.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"هههه متقزمش من الفلسفة بديك (بلا فلسفة) حيت بيها كنقدرو نفهمو ونحللو لأمور . و أنا لا أعتقد زجوة تخون زوجها مع شخص حيت عندو عضلات كتر من زوجها, مثلا.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"شوف , كنضن بحال هادشي مغيتحيدش إلى يلى حيدناها من الديور وكنا حقانيين مع ريوسنا,و إلى غلط لأب نوقفو فطريقو ونقولو له غلطتي و لأم كذلك دون عواطف أو خجل و هذا سينعكس على الزنقة كذلك و لي فزنقة ممكن يصبحو سياسيين وغيكونو عندهم هاد الصفة الزوينة ديال قول الحق بغض النظر على شكون غلط.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"ههههه لا شوف , را ماشي قدية ضروري بغيت سبب ولكن را لكل ضاهرة مسبب,حتا و إن كنا مقادرينش نكشفو السبب فمكيعنيش مكينش, و أعتقد تعميم الضواهر بمصطلحات ديال التقحبين ,سخونية الراس... كيزيدو غي الطين بلة وصافي. على لعموم شكرا بزااااف خويا الشعكوك على تعليقاتك و إلى لقيتي جواب فدني💙🙏.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"العلاقات البشرية كيحكمها العدييييد من العوامل الباطنية و لي كتخلينا نطيحو فالسوء الفهم للآخر... , لأمر را ماشي بديك السهولة المتداولة , راغي نحنن البشر نعمم الضواهر و نستخدم مصطلحات عامية من أجل تيسير لأمر , لكن في العمق الأمر معقد للغاية خويا.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"مقلتش لعكس, غا هو كين سبب في العمق ,اكيد. حيت الذكر غالبا كيخون إلى تزعط فشي وحدة مليحة وكانت عينو زايغة. ولكن بالنسبة للأنثى معرفتش بصراحة.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"كنضن واخا تعيشها مغتعرفش , حيت نتا دري , لبنات لي غايقدرو يحددو علاش",negative,negative,negative,negative,positive,negative,negative,positive,negative
الذكر معروف كيعشق جسد لأنثى و هذا واحد من لأسباب لي كتخليه يخون مرتو. لكن لأنثى شنو كيخليها تخون زوجها مثلا?,negative,negative,negative,negative,positive,negative,negative,negative,negative
كاع كنعشقو لأنثى ولكن ماشي بالدل و التكلبين.,negative,negative,negative,negative,positive,negative,negative,negative,negative
هههه إنهم يتكلبنون ويتملقون لكن ؤ مزاااال غاتعرفيهم مزيان هنا.,negative,negative,negative,negative,negative,negative,negative,negative,negative
"ههه لاااا , أنا متأكد كون سولت شي بنت , واخا يدخل شي كلب يقول لها فتعليق غي: الله يجيب الشيفا حتا أنا كانت نايضة عليا الضرسة",negative,negative,negative,negative,negative,negative,negative,negative,negative
"كنضن لي خاص يكون هو واحد لقدر من لفلوس باش يخلصو لأساتذة ؤ سالينا,ماشي لخلصة كاملة مكمولة ونتا مغتخلص مولات لميناج ما غاتخلص عساس,مازوط , شوافريا, حارس عام شوف واش يخلصوه أو لا ,لكاتبة مضنيتش واش يخلصها... يعني ياخد من لأب سوايع لأستاد لي خدمها و يخلصو ؤ أي حاجة زادها ماشي حقو.",negative,negative,negative,negative,negative,negative,negative,negative,negative
: مكيهمش تكون زوين🙂لي كيهم هو تكون صريح مع راسك..وديما تايق فراسك..ومكتنافقش بنادم😊🙂,negative,negative,negative,negative,negative,negative,negative,negative,negative
الله يهدينا,positive,positive,positive,positive,positive,positive,positive,positive,positive
"بصراحة حاجة طايحا يجيبو لك الناس لماكلة وتبقا شاد عندك الطباسل , مافيها باس يتغسل و مني يجي يتقدا عندك ترد له الطبسيل وتشكرو , هاكا العلاقة كتبقا زوينة.",negative,negative,negative,negative,positive,negative,negative,negative,negative
"هادا كيأكد بلي جل لمغاربة غا بيناتهم شفارة وكيطمعو فديال الغير , وبعد ذلك يتهمون الحكومات بالسرقة و كأن السياسيين ليسو مغاربة , راهم ترباو غاوسطكم وتعلم منكم قبل ميوليو سياسيين.",negative,negative,negative,negative,negative,negative,negative,negative,negative
لمشكل فاش كاتكون مرا وجوج و 3 . كتجي ناقصة كل خطرا تقول له جيب الطبسيل جيب الطاجين,negative,negative,negative,negative,negative,negative,negative,negative,negative
"قدية مغتعاودش تعيشها , كين ناس مؤمنين بأن ليس هناك موت بالمعنى المتداول , هي فقط أرواح تغير أجساد",negative,negative,negative,negative,negative,negative,negative,negative,negative
"كنحتارم عمال لبناء بزااااف , مهنة قااااسية ديال بصح",negative,negative,negative,negative,positive,negative,negative,negative,negative
"هاديك لأخطاء الي كتبان لنا في لآخرين , راها نواقص البشرية . حتا تلك الأخطاء التي نمقتها بشدة لمجرد أننا لم نرتكبها , را مكيعنيش أنها مفيناش , را كاينا فعمق الطبيعة البشرية و بمجرد أن يأتي ما يستدعيها را غادي نرتاكبوها كيفما رتاكبوها لآخرين. هدا ما قاله شوبنهاور , والله أعلم.",negative,negative,negative,negative,negative,negative,negative,negative,negative
يااااااا جد جد جدجدجدجد جدي وكان غا داوك عبد لأمريكا كون راني كنتقن لإنجليزية😭😫,negative,negative,negative,negative,positive,positive,negative,negative,negative
"هههههه , نرييي فاش كنقرى هاد الشروط (المادية) وكنبدا نفكر بلي را بصح كاينا بنت كطلب بحال هادشي كنحشم من راسي و كنقول يااا لوقاحة جلهن.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"تمااااما يرضي عليك , را لمشكل هو أنهم خاص يحيدو هاد النظرة التشاؤمية للون الأسود و للقط الأسود...",negative,negative,negative,negative,negative,negative,negative,negative,negative
جاياوبي ديما كيكون: آه أرضاه لأمي و أختي و بنتي . هو: ديوت. أنا: نعم ديوت .,negative,positive,positive,positive,positive,positive,positive,negative,negative
"شكرا , إرحم ربي لوالدين thank you , gracias ,obrigado , grazie .",positive,positive,positive,positive,positive,positive,positive,negative,positive
الله يحفضك خويا و حتانتا واحد من الرقاء الزوينين💙💙,positive,positive,positive,positive,positive,positive,positive,positive,positive
"تماااما , غا مخاصش نشوفوها بحالا دايرين فيهم خير , فهمتي قصدي? حيت هو واجب نحتارموهم مادامو لا يشكلون خطر علينا.",negative,negative,negative,negative,negative,negative,negative,negative,negative
هههه الله يحفضك سارة,positive,positive,positive,positive,positive,positive,positive,positive,positive
"هنا فتويتر قدرت نكسب بعض الرفاق الزوينين و المحترمين ذكورا و إناث , على عكس إنستاغرام , وهذا كيدل على أن دماغي أفضل من وجهي.",negative,positive,positive,negative,negative,negative,positive,negative,negative
"هههه فراسك , مقودة تشوف أديداس و نايك بشوف سلبية و لمقودا عليهم بشوفة إجابية غا حيت مقودة عليهم . يعن تشفر لواحد لباس عليه نورمال ولكن لي مقودا عليه ماشي نورمال. هذا قصدك?",negative,negative,negative,negative,negative,negative,negative,negative,negative
"هادشي لي كتقول دابا ولكن كندويو فضل وجود بحال ديك الروينة , وبصراحة أي جواب نعطيوه مغيرش يأكد لنا على لحقيقة إلا التجربة .",negative,negative,negative,negative,negative,negative,negative,negative,negative
"أنا مكنفيش القوانين الكونية , غا واش غتبقا على مبادئك في وقت الجوع مثلا ؤ متاكلش لحم بنادم وتموت بالجوع , واش مغديرش شنو كيديرو لمراكنا حتا و إن كنتي مقودة عليك ؤ مبقاش لقنون لبشري خدام علما أن القوانين لكونية لا زالت مفعلة.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"لأمر ماشي بهاد السهولة , را ممكن يكون سميتو مبدأ ؤ متلا من مبادئك يستحيل التاكل لحم بشري ولكن إلى ضطريتي لذلك ؤ كان يا تاكلو يا مصيرك الموت جوعا واش غتنازل وتاكل أو تموت جوعا.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"من بعد السرقات لي شفت طراو فأمريكا , و بما أني كنبغي ندفع ثمن أي حاجة عندي و منشفرش , ماشي حيت زعما مربي مزيان ولاخرين ممربينش ,لا. ولكن مبدأ كنعيش بيه وصافي. جا سؤال لدماغي: فلان إلى طرا بحال هادشي فبلادك غيبقا عندك هاد لمبدأ ولا غتخلا عليه? التخلعت ؤ معرفتش باش نجاوب بكل صراحة.",negative,negative,negative,negative,negative,negative,negative,negative,negative
أجي نتا بعدا كيفاش غادي كتزور لعائلة فضل هاد الضروف ههههه,negative,negative,negative,negative,negative,negative,negative,negative,negative
"هههههههه , ديما كنقول بلي الجيل د والدينا غا ماكانوش كاميرات بوفرة ؤ هواتف ذكية باش يوتقو فعايلهم ؤ صافي , عليها كيبقاو لاعبين 10.",negative,negative,negative,negative,negative,negative,negative,negative,negative
لبنات لي كيحطو تصاورهن هنا و كيلصقو 80 لايك و لفوق مكنديرش لهن لايك . معندها معنى لايك ديالي فديك اللحضة.,negative,negative,negative,negative,positive,negative,negative,negative,negative
"هههه عادي غا لبديا هادي ؤ دياولنا مكيحتارموش لي يله بادين , لحل هو كنرخف فيا النفس و كنشد ليمن ولي بغا يتفركع يتفركع",negative,negative,negative,negative,negative,negative,negative,negative,negative
"أنا ماقلت لا عادي لا ماشي عادي ,قلت أطنش حيت الخالق ماشي فحاجة ليا ندافع عليه. و ماشي غيحاسبني و يقول ليا أجي علاش مكعيتيش مني سبني فلان , را هاكا كنولي نشوفو لخالق بنظرة عاطفية و هذا كنضن خطأ كبييييير طايحين فيه.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"دااااكشي خويا , را هدا هو النورمال كل واحد يدير شنو بغا إلى مكانش كيآدي الناس , وحنا مسؤولين على ريوسنا ماشي على الناس.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"لإتفاق ماشي بهاد لمفهوم لي ترجمو دماغك , قصدت أنه مكيخدمش المرجعية ديالي ولكن قابل الناس يكونو كيفما بغاو مدام مكيشكلوش خطر عليا , و أنا مغنمشيش عند ناس ونبدا نقولهم نتا كيعجبوك الدراري لا مامتافقش معاكم. ممكن كلمت إتفاق لي ستخدمت معبرتش على شنو بغيت نقول , على لعموم شكرا",negative,negative,negative,negative,negative,negative,negative,negative,negative
كيفاش عاوتاني هاد { الإعتدار خلق للرجل وقبوله من عدمه خلق للأنثى}. واش بصح لبنات كيعيشو بهاد لمبدأ,negative,negative,negative,negative,negative,negative,negative,negative,negative
"يله شديت لبيرمي وقفت فعلامة (قف) لي خاصك غا توقف فيها وترد لبال وتزيد أنا نسيت صحبتها ضو حمر و حبست الطريق و كلشي كايكلاكصوني , ولاد لقحاب مكيشوفونيش ملصق 90 فجاج , ولكن والله ما جاوبت شي قواد , غاااا بشوية عليا حركت لقزديرة وغادي غا ب 40 و كلشي كيكلاكصوني ؤ يغوت و أنا مكنجاوبش",negative,negative,negative,negative,negative,positive,negative,negative,negative
"هههههههه حالف منمشي عند شي وحدة من باب نتعرف عليها , واش نتا مسطي , كاتجيني طاااايحا أصحبي و منقدرش نحط راسي فهاد لنوقف لبليد جدا ههههههه",negative,negative,negative,negative,negative,negative,negative,negative,negative
"كنضن قلب لأم و أطفالها عندهم ذبذبات من نوع آخر كيتواصلو من خلالها , وحتا التوام على ما أعتقد.",negative,negative,negative,negative,negative,negative,negative,negative,negative
: الشرف ليس في الجسد فقط ، كما يظن بعض أهل الشرق ! الشرف في الكلمات ، و الوعد ، و العمل ، و الحب . لا تكن شريفاً في أمرٍ ما ، و أق…,negative,negative,negative,negative,positive,negative,negative,negative,negative
دكتور مكرهتش تجاوبني بصرآاحة و إلى معندكش دراية أجب بمعرفتش ، را عادي . قريت لدكتور يقول: أُقِرُّ لكم أن شركات لأدوية هدفها إطالة عمر المريض ﻷطول فترة ممكنة بهدف الربح وليس في صالحها المريض يتعالج كليا أو يموت في فترة وجيزة. ✋ للإشارة الدكتور ماشي مغربي.,negative,negative,negative,negative,negative,negative,negative,negative,negative
غيكون حسن إلى كل نهار تحطي كلمة أو 2 بالريفية مع الترجمة لدارجة و عند نهاية الشهر ديري تغريدة كاملة بالريفية بدوك 30 كلمة لي ترجمتي لنا وهاكا حتا حنا نتعلمو الريفية شوية.,negative,positive,positive,negative,negative,negative,positive,negative,negative
إلى مكناش نعيشو بناتنا ولادنا بحال هاد الحياة بلاما نولدوهم💔😭,negative,negative,negative,negative,negative,negative,negative,negative,negative
سؤال لبنات. كي كيبانولكم الدراري لي كيدير خاتم فهاد لأصبع?,negative,negative,negative,negative,positive,negative,negative,negative,negative
واش الجعة و النبيد حتا هو كيتحسبو من الكحوليات أو المقصود غا لفودكا لويسكي أ دوكتور....,negative,negative,negative,negative,negative,negative,negative,negative,negative
"تا والله حتا داوي معاك بصح أ صحبي , كنت عند واحد السيد من العائلة لباس عليهم خرجت قدام لفيلا ديالهم ولقيتو طايح حدا طونوبيل دجارهم هزيتو و دخلت شعلتو و جريت شي جوج جرات و فرتتو بغيت نكتاشف شنو فيه لداخل حيت كان كيبان ليا بحال الشوكلاط.",negative,negative,negative,negative,negative,negative,negative,negative,negative
تبارك الله الله يحفضكم . كنضن تزوجتي صغير سي علي .,positive,positive,positive,positive,positive,positive,positive,positive,positive
"هادي قولها لمولات التغريدة , أنا قلت غا جل دراري شنو كيديرو غالبا مني كيكفتو",negative,negative,negative,negative,negative,negative,negative,negative,negative
"باقي مطحتش فهاد لقدية وكنمنى عمري نطيح فيها , و لكن كنضن لفقر و قلت الشي كتخلي لإنسان يتخلى على لمبادء ديالو. شوفي فلم platform",negative,negative,negative,negative,negative,negative,negative,negative,negative
"سيد لامنتمي واش كتشوف بعدا بلي لأساتذة عندهم فكر نقدي و أفكار نيرة يستفيد منها التلميذ , بعيدا عن المناهج التعلمية ? واش لأستاذ(ة) عندو فكر حر وبناء أو حتا هو غا حافض بحالو بحال التلاميذ?",negative,negative,negative,negative,positive,negative,negative,negative,negative
"شكرا بزاااف خويا , الله يحفضك💙",positive,positive,positive,positive,positive,positive,positive,positive,positive
شفت لفيديو كنضن را عند حياتك معنى إلى عطيتيها نتا معنى وهذا ما تم ذكره فنهاية الفيديو. ركز على كلمة حياتك و ماشي الحياة. أما قدية موجود لأنك موجود مكنآمنش بيها حيت مؤمن بلي لكل شيئ موجود سبب من وجوده وحتا و إن مقدرناش نعرفو معنى وجوده فمكيعنيش معندوش معنى.,negative,negative,negative,negative,negative,positive,negative,negative,negative
"مزاااال يرفعو عليها دعوى غا صبري , را لمغريبي كيكفت و كيتنادم معاه لحال ويأنبو الضمير ؤ كيبدا يسب لبنت لي كفت عليها مسكينة.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"هادا هو لمشكلة ربطنا الدين بالجامع و لفقيه وتوضى وصلي وصمتي ماصمتيش... , لكن في الواقع الفلسفة لي جاب لنا السيد محمد أكبر من هادشي كاااامل. على لعموم شكرا نهى",negative,negative,negative,negative,negative,positive,negative,negative,negative
"إن كان المعنى الأصلي لكلمة إستهزأ هو إستهان , فأعتقد هو مسبش بل إستهان الصلاة و الوضوء و سب الخطيب. على لعموم أنا لا أدافع عليه و ماشي ضدو. لي بغيت نقول هو أننا منبقاوش ناخدو لأمر بطريقة شخصية وعاطفية بزاف حيت لن يضر لا الصلاة و لا الوضوء و لا الخالق ولا أي شيئ. 💙🙏",negative,negative,negative,negative,negative,negative,negative,negative,negative
"عاود سمع الفيديو راه مسبش إطلاااق الدين أو الخالق هو سب الخطيب و أنا طبعا ضدد السب ولقدف , ولكن را معاير لا لمسلمين ولا دينهم.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"من غير اللقطة لي كيعير فيها الخطيب و أنا ضدد السب و الشتم, فأعتقد معاير لا لمسلمين ولا دينهم و مكاينش لاش ناخدو لأمر بطريقة عاطفية زايدا على اللزوم. ✋متهجموش عليا , را غي وجهة نظر ؤصافي الخوت.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"هههه ضروري بإذن الله , لفقر را عيب ؤ عار ؤ حشومة",negative,negative,negative,negative,positive,negative,negative,positive,negative
وا كون كان هو بعدا ولد الناس ميتزوجش ؤهو عارف راسو مزلوط و يكرفس راسو و الدرية معاه.,negative,negative,negative,negative,negative,negative,negative,negative,negative
"هههه شكرا على المجاملة الزوينة , على لعموم الله يهدينا ؤ صافي",positive,positive,positive,positive,positive,positive,positive,positive,positive
ولاد لقحاب بمجرد نبدا الناقش كيقولو ليا: واش نتا مسلم😭😭😭,negative,negative,negative,negative,negative,negative,negative,negative,negative
"داااكشي للأسف , وليت إلى قال ليا شي حد شنو كيبان لك فكدا وكدا , قبل منجاوب كنقوله: واش بغيتي وجهة نظري فلموضوع أو بغيتي وجهة النظر لي كتخدم مصالحك و تدعم الرؤية ديالك للموضوع , ومن خلال جوابو , كنقرر ندوي أو نعتذر عن عدم الإجابة ونهني راسي.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"ولاد لقحاب صافي , في الواقع , مكندخلش إطلااااقا فشي حوار أو نقدم وجهة نظري إلى إدا طلبها مني شي حد وكن وافق إلى كنت كنفهم فداك لموضوع , ولكن بمجرد ندوي يتم نعتي بلي فيا التفلسيف و أن رأيي مخالف للعامة و قريت بزاااف حتا فت لقياس. واشوف هاد ولاد لقحاب.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"آه , حيت كيقولهم عمو بيريز عاونوني غا فلعصبة صافي هههههههه",negative,negative,negative,negative,positive,positive,negative,negative,negative
"ممتافقش بصراحة حيت كي كان قال إلى دار شي حد ريتويت لتغريدتك ؤ صححتي شنو كتبتي غايولي داير ريتويت لحاجة عكس لي كان مكتوب وهادا كيبان ليا عذر منطقي , لكن كنتمنى يزيدونا عوتاني شوية فعدد لأحرف.",negative,negative,negative,negative,negative,negative,negative,negative,negative
"فراسكم فاش كدعيو و تقولو اللهم شفي المسلمين و رحم المسلمين... , راكم كدعيو مع العالم كلو بلامتحسو, حيت ربي قال: له أسلم من في السماوات و الأرض طوعا وكراهية. يعني الجميع مسلم.",positive,negative,negative,negative,negative,positive,negative,negative,negative
ههههههه إلعن ديلمهم معندي ماندير بكلامهم عليا فديك الساعة حيت عارفو كلام د النفاق حيت عندي فلوس,negative,negative,negative,negative,negative,negative,negative,negative,negative
ههه الله يعطيك الصحة,positive,positive,positive,positive,positive,positive,positive,positive,positive
: khayba dmaghk ykon 3ay9,negative,negative,negative,negative,positive,negative,negative,positive,positive
ههههه شكرا على لمعلومة,positive,positive,positive,positive,positive,positive,positive,positive,positive
"شكرا خويا , غنبحث مزال فلموضوع💙🙏",positive,negative,positive,negative,positive,negative,negative,positive,positive
"وااايلي , عندك شي دراية بهاد المجال , شرحي ليا شنو كيطرا في الدات",negative,negative,negative,negative,positive,negative,negative,negative,negative
شنو يقدر يطرا إلى متلا بالغلط عطاو دم لشي واحد ماشي من نفس الصنف.,negative,negative,negative,negative,negative,negative,negative,negative,negative
"طبعا هادي حاجة سلبية أنك ميكونش عندك الخوف , حيت واحد النوع من الخوف هو ضروري للبقاء على قيد الحياة.",negative,negative,negative,negative,negative,negative,negative,negative,negative
إلى بغيتي نطلقوكم قولي معايا: كازا يازينت لمدون يا بيضة زوينة ومسرارة و كلشي بجمالها مفتون .ههههههههههه,negative,positive,positive,negative,positive,positive,positive,negative,negative
: أنا من الناس لي الا كنت هازة تيليفون و جاني شي ميساج كنجاوب عليه ديك ساعة، ديك اللعيبة د لا منجاوبش بالخف باش نبان منعرف اش…,negative,negative,negative,negative,negative,negative,negative,negative,negative
"النفسية والدين مها كتمرض أ صحبي , تعيا طلع لمورال و لكن را بزاااف أو , أنا كنكره لغلوس فدار , ديما هاز شكارتي و مجلوق بحال van gogh هههههه",negative,negative,negative,negative,negative,negative,negative,negative,negative
فراسكم كين لي حاليا مسجون فالحبس مشافش الزنقة سنوااات و لحلم ديالو يقطع غير الشانطي أو يصوني فلانطيرفون. بزاف لحاجة عدنا كيبانو بديهيات و لكن كين لي كيبانو له أحلام بعييييدة.,negative,negative,negative,negative,negative,negative,negative,negative,negative
"كندوي على ظواهر ظاهرة للجميع ومادامت سميت بظاهرة فهي ليست مخفية ومتحتاجش للفت نتباه , بالنسبة لي دوك لأفلام لي(تلفت لإنتباه) دون الرجوع لجدر لإشكالية كتزيد غير الطين بلة و صافي , أنا مكنفهمش إطلاقا فعالم السينما , غي وجهة نظري البسيطة في شنو كنشوف ؤ كي كنشوف لأمر ؤ صافي. 💙🙏",positive,negative,negative,negative,negative,negative,negative,negative,negative
هههه الله يعطيك الصحة,positive,positive,positive,positive,positive,positive,positive,positive,positive
"طبعا را نتا الوحيد لي غتعرف سبب وجودك فالحياة و تعطي لحياتك معنا , أنا سبق طرحت السؤال بمنطلق علاش فكرتو فإنجابي ماشي شنو سبب وجودي فالحياة .",negative,negative,negative,negative,negative,negative,negative,negative,negative
"ههههه باش نكون صريح معاك ؤ صافي , حيت لا يعقل تجي وتقول: كلشي ستغلالي فهاد لوقت , حيت نتي أكييييد متعاملتيش مع كل الناس فمتقدريش طلقي حكم مطلق بأن الجميع كذلك , هي وجهة نظرك لي ستمديتيها من تجاربك و تجاربك ليست هي الواقع الصاطة ههههه",negative,negative,negative,negative,negative,negative,negative,negative,negative
"بلان ديال فلم يعالج ظاهرة ما,عمرها دخلات ليا لدماغي,خاصة و أن جل قصص لأفلام كتعكس لنا الضاهرة من الواقع,مع بعض الدراما ديال(ميدوم غا لمعقول). فحين أن لعلاج مشاكل خاص نقبو على أسبابهم فلعمق وشنو كيخلي لفرد أو الجماعة يرتاكبو هاد لحاجة و شنو الدوافع د مرتكبين هاد الضواهر السلبية...",negative,negative,negative,negative,negative,negative,negative,negative,negative
"متااافق من واحد الناحية , لكن كل ما في لأمر كندير للآخر أعذار , ممكن مريض ممكن مات ممكن طاح له تيليفون... و لكن طبعا إلى كنت عارفو ماشي مباغيش يجاوبني , و إلى عرفت أنه يتحاشى التواصل معايا سأتوقف عن مراسلته, ماشي كرها ولكن حيت هو مبغاش يجاوب.",negative,negative,negative,negative,negative,negative,negative,negative,negative
